country,book,chapter,chapter_position,part_position,question_number,question_id,criteria_short,answer,justification,source_file,file_stem
China,A View from the Stars,A Journey in Search of Home,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,Essay discussing the tension between science and literature in writing. No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,No space journey depicted in this essay about the writing process.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No space society depicted; discusses literary themes.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No space language or communication depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No space environmental conditions depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No space political order depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,9,q9,genre of the book,Other / Unsure,Nonfiction essay about literary craft; not a narrative with classifiable genre.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No space domain activity depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No space domain analogy provided.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,1,q1,is space something to be contested,Other / Unsure,Story is set entirely on Earth: a time traveler visits Einstein in 1950s Princeton. No space setting or contestation.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,No space habitation depicted. The story takes place in Einstein's home on Earth.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,"No space journey. The visitor travels through time, not space. His departure involves remaining stationary in absolute space-time while Earth moves.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No space society depicted. The visitor is from the future but describes no space-based society.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No space language barriers. The time traveler communicates normally with Einstein.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No space environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No space political order depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,9,q9,genre of the book,Drama,A philosophical drama in which a time traveler visits Einstein to deliver two messages: humanity survives and God does play dice. Emotional exchange centered on physics and human destiny.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No space domain depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No space domain analogy.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Messenger,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,1,q1,is space something to be contested,Other / Unsure,Set entirely on Earth during the 1999 NATO bombing of Yugoslavia. No space setting or contestation.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,No space habitation. Story involves weather manipulation on Earth.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,"No space journey. Aleksandar travels to Mauritania, Okinawa, and Antarctica on Earth.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No space society depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No space language depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No space environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No space political order depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,9,q9,genre of the book,Military / war,"Set during the NATO bombing of Yugoslavia, Aleksandar uses chaos theory and atmospheric sensitivity points to create cloud cover protecting against aerial bombing. His wife is killed by a missile.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No space domain depicted. Military activity is entirely atmospheric/terrestrial.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No space domain to draw an analogy for.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Butterfly,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,1,q1,is space something to be contested,Other / Unsure,Nonfiction essay arguing space development is as important as environmental protection. No narrative depicting space contestation.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,Essay discusses the resource potential of the solar system conceptually but provides no narrative depiction of space habitation.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,No narrative depicting a space journey.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No narrative depicting space society.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No narrative depicting space communication.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No narrative depicting space environmental conditions.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No narrative depicting space habitation.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No narrative depicting space political order.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,9,q9,genre of the book,Other / Unsure,Nonfiction essay about space development policy; not a narrative with classifiable genre.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No narrative depicting civilian or military space activity.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No narrative providing a space domain analogy.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,One and One Hundred Thousand Earths,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No narrative depicting space physical conditions.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,1,q1,is space something to be contested,Other / Unsure,Nonfiction essay celebrating Science Fiction World magazine's 30th anniversary. No narrative content depicting space.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,Essay about the Chinese sci-fi literary community. No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,No space journey depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No space society depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No space language depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No space environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No space political order depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,9,q9,genre of the book,Other / Unsure,Nonfiction commemorative essay; not a narrative with classifiable genre.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No space domain activity depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No space domain analogy provided.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,1,q1,is space something to be contested,Other / Unsure,Nonfiction blog post about completing the Remembrance of Earth's Past trilogy. No narrative depicting space.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,Brief personal reflection on writing speed. No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,No space journey depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No space society depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No space language depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No space environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No space political order depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,9,q9,genre of the book,Other / Unsure,Nonfiction blog post; not a narrative with classifiable genre.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No space domain activity depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No space domain analogy provided.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,On Finishing Deaths End,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,1,q1,is space something to be contested,Other / Unsure,"Story is set at a particle accelerator in Lop Nor, China. No space-based contestation; the conflict is about a physics experiment on Earth.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,No space habitation depicted. All action takes place at an Earth-based particle accelerator.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,No space journey depicted. The cosmic effects (sky inversion) happen on Earth.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No space society depicted. Characters are Earth-based physicists.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No space language depicted. Scientists communicate normally.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No space environment experienced by characters. The universe inverts visually but characters remain on Earth.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No space political order depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,9,q9,genre of the book,Adventure / exploration,"Scientists at a particle accelerator make a groundbreaking discovery by splitting a quark, causing the universe to invert. The story centers on scientific exploration and its unexpected cosmic consequences.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No space domain depicted. Activity is Earth-based scientific research.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No space domain analogy; the story deals with particle physics on Earth.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,End of the Microcosmos,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No space physical environment experienced. The visual inversion of the sky is observed from Earth.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,1,q1,is space something to be contested,Other / Unsure,Nonfiction essay comparing science fiction and fantasy genres. No narrative depicting space contestation.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,Essay about genre distinctions. No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,No space journey depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No space society depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No space language depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No space environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No space political order depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,9,q9,genre of the book,Other / Unsure,Nonfiction essay about genre theory; not a narrative with classifiable genre.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No space domain activity depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No space domain analogy provided.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,1,q1,is space something to be contested,Other / Unsure,Nonfiction essay about depictions of the universe in sci-fi and the lack of 'religious feeling' in Chinese sci-fi. No narrative depicting space.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,Essay discussing other works' depictions of space conceptually. No narrative space habitation.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,No narrative space journey depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No narrative space society depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No narrative space language depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No narrative space environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No narrative space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No narrative space political order depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,9,q9,genre of the book,Other / Unsure,Nonfiction literary criticism essay; not a narrative with classifiable genre.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No space domain activity depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No space domain analogy provided.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,The Church of Sci-Fi,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
