country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification,source_file,file_stem,part_position,chapter_position
China,A View from the Stars,The Dark Forest Theory,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction essay explaining the Dark Forest theory from the Three-Body Problem series. Discusses cosmic civilization relationships conceptually but contains no narrative.,Essay discusses cosmic civilizations as abstract concepts. No narrative space habitation depicted.,No narrative space journey depicted.,Discusses alien civilizations theoretically but no narrative society is depicted.,Discusses communication difficulties between civilizations conceptually. No narrative depiction.,No narrative space environment depicted.,No narrative space habitation depicted.,Discusses cosmic political dynamics theoretically. No narrative depiction.,Nonfiction essay about worldbuilding theory; not a narrative with classifiable genre.,No narrative space domain activity depicted.,No narrative space domain analogy.,No narrative space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,The World in Fifty Years,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"Nonfiction futurological essay speculating about energy, transportation, war, life sciences, and digital living over the next 50 years. No narrative depicting space.",Discusses future technology conceptually. No narrative space habitation depicted.,No narrative space journey depicted.,No narrative space society depicted.,No narrative space language depicted.,No narrative space environment depicted.,No narrative space habitation depicted.,No narrative space political order depicted.,Nonfiction speculative essay about future technology; not a narrative with classifiable genre.,No narrative space domain activity depicted.,No narrative space domain analogy.,No narrative space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,Heard It in the Morning,No contestation,Other / Unsure,Other / Unsure,Radically different / alien social order,Same languages as Earth,Other / Unsure,Other / Unsure,Single unified authority,Drama,Entirely civilian,Other / Unsure,Other / Unsure,The cosmic order described is peaceful and governed. The dehazardification officer maintains universal safety without conflict. The nebulae civilization cooperated unanimously. No space-based rivalry or disputes.,Humans do not inhabit space in this story. The entire setting is the Earth-based Einstein equator accelerator and surrounding desert. The alien dehaz officer visits Earth.,No space journey is depicted. The trip around the world is through the accelerator tube on Earth's surface. The dehaz officer's travel is instantaneous and not described as a journey.,The dehaz officer describes civilizations fundamentally unlike humanity: the ancient nebulae civilization was made of tornado-like gas beings who transformed their bodies into accelerator parts. The cosmic governance system is radically different from any human social order.,The dehaz officer speaks standard English to communicate with the scientists. No translation technology or language barriers are encountered in space communication.,"No space environment is directly experienced by characters. The story is set entirely on Earth. Cosmic conditions are discussed abstractly (vacuum decay, nebulae) but not experienced.",Human space habitation is not depicted. The story takes place on Earth with an alien visitor. The accelerator trip is terrestrial.,The universe is governed by a single dehazardification system that monitors all civilizations and prevents dangerous high-energy experiments. This represents a unified cosmic authority.,"A philosophical and emotional drama about the pursuit of ultimate cosmic truth. Scientists sacrifice their lives for knowledge on the altar of truth, with wrenching family scenes (Ding Yi leaving his daughter, Matsuda and Motoko). Hawking's unanswered final question provides the poignant conclusion.","All characters are civilian scientists, their families, and heads of state. No military presence. The Einstein equator is a scientific instrument, not a military installation.",Space is not depicted as a domain humans operate in. The cosmic setting is discussed abstractly through the dehaz officer's exposition but not analogized to any familiar domain.,"No space physical environment is directly experienced. The cosmic conditions described (vacuum energy, nebulae, the void) are abstract concepts discussed by the dehaz officer, not environments characters inhabit.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,On Ball Lightning,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction interview with Liu Cixin about writing the novel Ball Lightning. No narrative depicting space.,Interview about a novel's writing process. No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,Nonfiction author interview; not a narrative with classifiable genre.,No space domain activity depicted.,No space domain analogy provided.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,Were Sci-Fi Fans,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction essay about Chinese sci-fi fandom followed by promotional blurbs for the Three-Body Problem trilogy. No original narrative depicting space.,Essay about fandom culture. No narrative space habitation depicted.,No narrative space journey depicted.,No narrative space society depicted.,No narrative space language depicted.,No narrative space environment depicted.,No narrative space habitation depicted.,No narrative space political order depicted.,Nonfiction essay about sci-fi fandom plus promotional blurbs; not an original narrative with classifiable genre.,No narrative space domain activity depicted.,No narrative space domain analogy.,No narrative space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,Broken Stars,Goodnight Melancholy,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"Near-future Earth story about a woman dealing with depression using therapeutic robots Lindy and Nocko, interweaved with fictionalized accounts of Alan Turing. No space setting or contestation.",No space setting. Story takes place entirely on near-future Earth with iWall and iVatar technology.,No space journey depicted. All action is Earth-based.,No space society depicted. Characters live in near-future Earth society.,No space language depicted. Communication is normal Earth language.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A deeply emotional drama about a woman's struggle with depression, her relationship with therapeutic AI robots, and parallels drawn to Alan Turing's life and his conversations with a machine called Christopher.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.,China_Broken_Stars.csv,China_Broken_Stars,NA,NA
China,Broken Stars,Broken Stars,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"Dark psychological story set in 1998 China about a teenage girl discovering her mentally ill mother has been secretly imprisoned by her father. Stars are metaphorical/astrological, not outer space.",No space setting. Story takes place entirely in a Chinese city in 1998.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A dark psychological thriller where teenager Tang Jiaming discovers her mother has been imprisoned behind one-way glass for over a decade. She kills her mother, imprisons her father, and plans revenge on her school tormenters.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.,China_Broken_Stars.csv,China_Broken_Stars,NA,NA
China,Broken Stars,Moonlight,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"A man receives phone calls from future versions of himself, each presenting a different environmental catastrophe. Set entirely on Earth with time-travel communication, no space contestation.","No space setting. Story involves Earth-based environmental catastrophes (flooding, siliconization, magnetic field destruction).",No space journey depicted. Time-travel communication only.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A philosophical drama about a man who changes history three times in one night by receiving calls from future selves, each presenting a different catastrophic timeline, but ultimately changes nothing.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.,China_Broken_Stars.csv,China_Broken_Stars,NA,NA
China,Broken Stars,Submarines,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,Allegorical story about peasant migrant workers who build crude submarines and live on the Yangtze River. No space setting or contestation.,No space setting. Story takes place on the Yangtze River in China.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"An allegorical drama about migrant workers building crude submarines on the Yangtze River. Social commentary on the urban-rural divide in China, with children kept in underwater cages and submarines eventually burning in a mysterious fire.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.,China_Broken_Stars.csv,China_Broken_Stars,NA,NA
China,Broken Stars,Salinger and the Koreans,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Comedy / satire,Other / Unsure,Other / Unsure,Other / Unsure,"Surreal/satirical story where a Cosmic Observer watches North Korea conquer the world using a Quantum Reambiguator. The Cosmic Observer is abstract, not a space-based character. No space contestation.",No space habitation depicted. The Cosmic Observer is an abstract narrative device.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A darkly comic, absurdist political satire where North Korea conquers the world using a Quantum Reambiguator while a Cosmic Observer watches and Salinger loses his reclusive home.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.,China_Broken_Stars.csv,China_Broken_Stars,NA,NA
China,Broken Stars,Under a Dangling Sky,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Other / Unsure,Set in Rainville under a crystal dome sky. A dolphin named Giana rides a giant fountain through the crystal sky and discovers another planet nearby. The space content is minimal and fantastical rather than depicting contestation.,"The story hints at another planet beyond the crystal sky, but no space habitation is depicted. Characters live under a dome on their own world.",No space journey is depicted by human characters. Giana the dolphin breaks through the crystal sky but this is more fantastical than a space journey.,No space society depicted. The society lives under a dome in Rainville.,No space language depicted.,No space environment experienced by characters in a meaningful way.,No space habitation depicted.,No space political order depicted.,A fantasy/sci-fi hybrid about a narrator collecting underwater sounds and a dolphin named Giana who dreams of reaching the stars. She rides a giant fountain through a crystal sky and discovers another planet. The shattering of the crystal sky is an act of exploration and discovery.,No space domain activity depicted in civilian or military terms.,No space domain analogy applicable.,No space physical environment experienced by characters.,China_Broken_Stars.csv,China_Broken_Stars,NA,NA
China,Broken Stars,The New Year Train,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Comedy / satire,Other / Unsure,Other / Unsure,Other / Unsure,Told as a TV interview transcript about an entrepreneur who creates a train using miniature black holes to bend space-time for faster travel during Spring Festival. The story is Earth-set and comedic; no space contestation.,No space habitation depicted. The train bends space-time but remains on Earth.,No space journey. The train manipulates space-time but travels between Chinese cities.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A comic story told as a TV interview about a train using miniature black holes for faster Spring Festival travel. The train vanishes with 1500 passengers but returns safely, with passengers enjoying the extended journey. Humorous tone throughout.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.,China_Broken_Stars.csv,China_Broken_Stars,NA,NA
China,Broken Stars,The Robot Who Liked to Tell Tall Tales,Other / Unsure,Other / Unsure,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure,Other / Unsure,Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"A Calvinoesque fable about a robot soldier sent to become the greatest storyteller. The robot drifts through space for millions of years, but there is no contestation or strategic struggle over space.",The robot drifts through space but there is no habitation or territorial holding. Space is a void through which the robot travels.,"The robot drifts through space for millions of years, passing black holes and star systems, in an effectively one-way, generational-scale journey.",No space society depicted. The robot is alone in space.,No space language barriers depicted. The robot communicates with Death and other characters through normal speech.,"Space is depicted as a vast emptiness through which the robot drifts for millions of years, passing black holes and dead star systems. Only a robot could survive such conditions.",The robot is essentially alone in space. No other inhabitants are encountered during its millions-year drift.,No space political order depicted.,"A fable about a robot soldier on a quest to become the greatest storyteller. It encounters a painter, writer, and wine connoisseur who each evade Death, drifts through space for millions of years, and fulfills quests before returning home.",The robot's space journey is neither civilian nor military in nature; it is a fantastical quest narrative.,Space is used as a mythical/fable setting rather than as an analogy for any real-world domain.,"The robot drifts through black holes, dead star systems, and vast emptiness for millions of years. The environment is fundamentally unlike Earth.",China_Broken_Stars.csv,China_Broken_Stars,NA,NA
China,Broken Stars,The Restaurant at the End of the Universe Laba Porridge,No contestation,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Benign / easily survivable,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Drama,Entirely civilian,Other / Unsure,Very different (human bodies/technology constantly challenged),The restaurant exists peacefully at the end of the universe. Multiple alien species visit without conflict. No contestation over space is depicted.,"Multiple alien civilizations exist across the universe: three-body people of Alpha Centauri, Titanians, Suoyas. The universe is populated with diverse settled civilizations.",The restaurant is at the end of the universe. Travel involves singularity-based transport across vast cosmic distances. Characters from Alpha Centauri and Titan visit.,"Multiple alien species with entirely different social structures: three-body people from Alpha Centauri, Titanians who are uploaded consciousnesses, Suoyas. Each has its own radically different culture.","Multiple alien species communicate at the restaurant despite coming from vastly different civilizations, suggesting translation technology mediates communication.","The restaurant environment is comfortable and hospitable, serving food to diverse alien species. The setting is designed for leisure and dining.","Space habitation is completely normalized. Multiple species travel the universe freely, visit restaurants at the edge of the cosmos, and live across many worlds.","Multiple alien civilizations exist as distinct entities: Alpha Centauri's three-body people, Titanians, Suoyas, and others, each apparently governing themselves.","A story-within-a-story set at a restaurant at the end of the universe, centered on writer Ah Chen who traded his capacity for love to the Agency of Mysteries for literary abilities. The emotional core is about love, sacrifice, and human connection.","All space activity depicted is civilian: running a restaurant, dining, traveling for leisure. No military presence.","Space is depicted as a vast multicultural marketplace/social space, not easily analogized to a single real-world domain.","The restaurant exists at the end of the universe, with singularity-based transport and environments suited to multiple alien physiologies. The physical environment is very different from Earth.",China_Broken_Stars.csv,China_Broken_Stars,NA,NA
China,Broken Stars,What Has Passed Shall in Kinder Light Appear,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"An alternate history where time flows backward through Chinese history. The protagonist lives from modern prosperity through the Cultural Revolution, civil war, and WWII. Set entirely on Earth with only a brief mention of a satellite launch and the American moon landing. No space contestation.",No space habitation depicted. The story is entirely Earth-based alternate history.,No space journey depicted. All travel is terrestrial.,No space society depicted. The story portrays Earth-based Chinese society across decades.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"An epic alternate history drama spanning decades, centered on the love story between Xie Baosheng and Qiqi. Time flows backward through Chinese history: from modern prosperity through Tiananmen, the Cultural Revolution, civil war with Nationalists, and WWII. Deeply emotional and philosophical.",No space domain depicted. Military activity is entirely terrestrial.,No space domain to draw an analogy for.,No space physical environment depicted.,China_Broken_Stars.csv,China_Broken_Stars,NA,NA
