country,question_number,question_id,criteria_short,scale,total_weight,n_books,n_books_committed,mean_position,median_position,mean_peak_position,mean_end_position
Russia,5,q5,do you speak same language on earth vs space ?,ordinal,8,8,6,2.5,1,3.1666666666666665,2.8
Russia,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,8,8,7,2.857142857142857,3,3.857142857142857,3
Russia,7,q7,how common is it for humans to live in space,ordinal,8,8,6,1.3333333333333333,1,5,4
Russia,8,q8,are there different countries in space? Or just one?,ordinal,8,8,6,2.6666666666666665,2,2.3333333333333335,1.8
Russia,9,q9,genre of the book,nominal,8,8,0,NA,NA,NA,NA
Russia,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,8,8,7,1.5714285714285714,1,2.2857142857142856,1.3333333333333333
Russia,11,q11,Is space characterized like another military domain?,nominal,8,8,1,6,6,NA,NA
Russia,12,q12,how physically different is space from earth?,ordinal,8,8,7,3.5714285714285716,4,4.285714285714286,3.75
US,1,q1,is space something to be contested,ordinal,11,35,35,2.64,2,3.9127272727272726,2.7039999999999997
US,2,q2,can you inhabit and hold territory in space,ordinal,11,35,34,3.3722627737226274,3,3.0839416058394153,2.5446428571428568
US,3,q3,how long is journey / how  far from earth,ordinal,11,35,34,4.10948905109489,5,4.565693430656934,4.022321428571428
US,4,q4,how culturally different is space from earth?,ordinal,11,35,34,3.204379562043795,3,3.751824817518248,3.626506024096385
US,5,q5,do you speak same language on earth vs space ?,ordinal,11,35,34,2.1861313868613137,1,2.6423357664233573,2.5625
US,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,11,35,32,2.9558823529411757,3,4.242647058823529,3.058558558558558
US,7,q7,how common is it for humans to live in space,ordinal,11,35,34,3.025547445255474,2,3.6131386861313866,3.2730923694779115
US,8,q8,are there different countries in space? Or just one?,ordinal,11,35,28,3.2462686567164174,4,3.16044776119403,2.8532110091743115
US,9,q9,genre of the book,nominal,11,35,0,NA,NA,NA,NA
US,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,11,35,32,2.0220588235294117,1,3.4007352941176467,1.8018018018018016
US,11,q11,Is space characterized like another military domain?,nominal,11,35,2,6,6,NA,NA
US,12,q12,how physically different is space from earth?,ordinal,11,35,31,3.523985239852399,4,4.354243542435425,3.373983739837399
