book,chapter,q_number,claude_answer,human_answer
Ender's Game,Chapter 6 - THE GIANT'S DRINK,3,"Long-distance journey (years, major separation from Earth)",Other / Unsure
Ender's Game,Chapter 6 - THE GIANT'S DRINK,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 6 - THE GIANT'S DRINK,5,"Mostly same, with dialect/slang differences","Mostly same, with dialect/slang differences"
Ender's Game,Chapter 6 - THE GIANT'S DRINK,6,Manageable but risky,Other / Unsure
Ender's Game,Chapter 6 - THE GIANT'S DRINK,7,Uncommon (small specialist population),Other / Unsure
Ender's Game,Chapter 6 - THE GIANT'S DRINK,8,Single unified authority,Other / Unsure
Ender's Game,Chapter 6 - THE GIANT'S DRINK,9,Drama,Adventure / exploration
Ender's Game,Chapter 6 - THE GIANT'S DRINK,10,Entirely military / war-focused,Entirely military / war-focused
Ender's Game,Chapter 6 - THE GIANT'S DRINK,11,Like the ocean / naval,Totally unique domain
Ender's Game,Chapter 6 - THE GIANT'S DRINK,12,Very different (human bodies/technology constantly challenged),Somewhat different (manageable environmental differences)
Ender's Game,Chapter 7 - SALAMANDER,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 7 - SALAMANDER,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Ender's Game,Chapter 7 - SALAMANDER,3,"Long-distance journey (years, major separation from Earth)",Other / Unsure
Ender's Game,Chapter 7 - SALAMANDER,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 7 - SALAMANDER,5,"Mostly same, with dialect/slang differences","Mostly same, with dialect/slang differences"
Ender's Game,Chapter 7 - SALAMANDER,6,Manageable but risky,Other / Unsure
Ender's Game,Chapter 7 - SALAMANDER,7,Uncommon (small specialist population),Other / Unsure
Ender's Game,Chapter 7 - SALAMANDER,8,Single unified authority,Other / Unsure
Ender's Game,Chapter 7 - SALAMANDER,9,Military / war,Adventure / exploration
Ender's Game,Chapter 7 - SALAMANDER,10,Entirely military / war-focused,Entirely military / war-focused
Ender's Game,Chapter 7 - SALAMANDER,11,Like the ocean / naval,Totally unique domain
Ender's Game,Chapter 7 - SALAMANDER,12,Very different (human bodies/technology constantly challenged),Somewhat different (manageable environmental differences)
Ender's Game,Chapter 8 - RAT,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 8 - RAT,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Ender's Game,Chapter 8 - RAT,3,"Long-distance journey (years, major separation from Earth)",Other / Unsure
Ender's Game,Chapter 8 - RAT,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 8 - RAT,5,"Mostly same, with dialect/slang differences","Mostly same, with dialect/slang differences"
Ender's Game,Chapter 8 - RAT,6,Manageable but risky,Other / Unsure
Ender's Game,Chapter 8 - RAT,7,Uncommon (small specialist population),Other / Unsure
Ender's Game,Chapter 8 - RAT,8,Single unified authority,Single unified authority
Ender's Game,Chapter 8 - RAT,9,Military / war,Adventure / exploration
Ender's Game,Chapter 8 - RAT,10,Entirely military / war-focused,Entirely military / war-focused
Ender's Game,Chapter 8 - RAT,11,Like the ocean / naval,Totally unique domain
Ender's Game,Chapter 8 - RAT,12,Very different (human bodies/technology constantly challenged),Somewhat different (manageable environmental differences)
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,2,"Visiting / Temporary presence only (stations, missions, outposts)",Habitable and governable (permanent settlements can hold territory)
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,3,"Long-distance journey (years, major separation from Earth)",Other / Unsure
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,5,"Mostly same, with dialect/slang differences","Mostly same, with dialect/slang differences"
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,6,Other / Unsure,Benign / easily survivable
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,7,Uncommon (small specialist population),Uncommon (small specialist population)
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,8,Single unified authority,Earth nation-states extend into space
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,9,Political / diplomatic,Adventure / exploration
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,10,Mostly civilian with some military presence,Entirely military / war-focused
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,11,Other / Unsure,Totally unique domain
Ender's Game,Chapter 9 - LOCKE AND DEMOSTHENES,12,Other / Unsure,Somewhat different (manageable environmental differences)
Ender's Game,Chapter 10 - DRAGON,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 10 - DRAGON,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Ender's Game,Chapter 10 - DRAGON,3,"Long-distance journey (years, major separation from Earth)",Other / Unsure
Ender's Game,Chapter 10 - DRAGON,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 10 - DRAGON,5,"Mostly same, with dialect/slang differences","Mostly same, with dialect/slang differences"
Ender's Game,Chapter 10 - DRAGON,6,Manageable but risky,Other / Unsure
Ender's Game,Chapter 10 - DRAGON,7,Uncommon (small specialist population),Other / Unsure
Ender's Game,Chapter 10 - DRAGON,8,Single unified authority,Other / Unsure
Ender's Game,Chapter 10 - DRAGON,9,Military / war,Adventure / exploration
Ender's Game,Chapter 10 - DRAGON,10,Entirely military / war-focused,Entirely military / war-focused
Ender's Game,Chapter 10 - DRAGON,11,Like the ocean / naval,Totally unique domain
Ender's Game,Chapter 10 - DRAGON,12,Very different (human bodies/technology constantly challenged),Somewhat different (manageable environmental differences)
Ender's Game,Chapter 11 - VENI VIDI VICI,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 11 - VENI VIDI VICI,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Ender's Game,Chapter 11 - VENI VIDI VICI,3,"Long-distance journey (years, major separation from Earth)",Other / Unsure
Ender's Game,Chapter 11 - VENI VIDI VICI,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 11 - VENI VIDI VICI,5,"Mostly same, with dialect/slang differences","Mostly same, with dialect/slang differences"
Ender's Game,Chapter 11 - VENI VIDI VICI,6,Manageable but risky,Other / Unsure
Ender's Game,Chapter 11 - VENI VIDI VICI,7,Uncommon (small specialist population),Other / Unsure
Ender's Game,Chapter 11 - VENI VIDI VICI,8,Single unified authority,Earth nation-states extend into space
Ender's Game,Chapter 11 - VENI VIDI VICI,9,Military / war,Adventure / exploration
Ender's Game,Chapter 11 - VENI VIDI VICI,10,Entirely military / war-focused,Entirely military / war-focused
Ender's Game,Chapter 11 - VENI VIDI VICI,11,Like the ocean / naval,Totally unique domain
Ender's Game,Chapter 11 - VENI VIDI VICI,12,Very different (human bodies/technology constantly challenged),Somewhat different (manageable environmental differences)
Ender's Game,Chapter 12 - BONZO,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 12 - BONZO,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Ender's Game,Chapter 12 - BONZO,3,"Long-distance journey (years, major separation from Earth)",Near-Earth / very short journey
Ender's Game,Chapter 12 - BONZO,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 12 - BONZO,5,"Mostly same, with dialect/slang differences","Mostly same, with dialect/slang differences"
Ender's Game,Chapter 12 - BONZO,6,Harsh and resource-intensive,Other / Unsure
Ender's Game,Chapter 12 - BONZO,7,Uncommon (small specialist population),Other / Unsure
Ender's Game,Chapter 12 - BONZO,8,Single unified authority,Earth nation-states extend into space
Ender's Game,Chapter 12 - BONZO,9,Thriller / Horror / Survival,Adventure / exploration
Ender's Game,Chapter 12 - BONZO,10,Entirely military / war-focused,Entirely military / war-focused
Ender's Game,Chapter 12 - BONZO,11,Like the ocean / naval,Totally unique domain
Ender's Game,Chapter 12 - BONZO,12,Very different (human bodies/technology constantly challenged),Somewhat different (manageable environmental differences)
Ender's Game,Chapter 13 - VALENTINE,1,Moderate contestation (ongoing rivalry/disputes),High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 13 - VALENTINE,2,"Visiting / Temporary presence only (stations, missions, outposts)",Habitable and governable (permanent settlements can hold territory)
Ender's Game,Chapter 13 - VALENTINE,3,Moderate journey (months/meaningful separation),"Long-distance journey (years, major separation from Earth)"
Ender's Game,Chapter 13 - VALENTINE,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 13 - VALENTINE,5,Same languages as Earth,"Mostly same, with dialect/slang differences"
Ender's Game,Chapter 13 - VALENTINE,6,Manageable but risky,Other / Unsure
Ender's Game,Chapter 13 - VALENTINE,7,Uncommon (small specialist population),Uncommon (small specialist population)
Ender's Game,Chapter 13 - VALENTINE,8,Single unified authority,Earth nation-states extend into space
Ender's Game,Chapter 13 - VALENTINE,9,Military / war,Adventure / exploration
Ender's Game,Chapter 13 - VALENTINE,10,Mostly military,Entirely military / war-focused
Ender's Game,Chapter 13 - VALENTINE,11,Like the ocean / naval,Totally unique domain
Ender's Game,Chapter 13 - VALENTINE,12,Somewhat different (manageable environmental differences),Somewhat different (manageable environmental differences)
Ender's Game,Chapter 14 - ENDER'S TEACHER,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 14 - ENDER'S TEACHER,2,"Visiting / Temporary presence only (stations, missions, outposts)",Habitable and governable (permanent settlements can hold territory)
Ender's Game,Chapter 14 - ENDER'S TEACHER,3,"Long-distance journey (years, major separation from Earth)","Long-distance journey (years, major separation from Earth)"
Ender's Game,Chapter 14 - ENDER'S TEACHER,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 14 - ENDER'S TEACHER,5,Same languages as Earth,"Mostly same, with dialect/slang differences"
Ender's Game,Chapter 14 - ENDER'S TEACHER,6,Harsh and resource-intensive,Other / Unsure
Ender's Game,Chapter 14 - ENDER'S TEACHER,7,Uncommon (small specialist population),Uncommon (small specialist population)
Ender's Game,Chapter 14 - ENDER'S TEACHER,8,Single unified authority,Earth nation-states extend into space
Ender's Game,Chapter 14 - ENDER'S TEACHER,9,Military / war,Adventure / exploration
Ender's Game,Chapter 14 - ENDER'S TEACHER,10,Entirely military / war-focused,Entirely military / war-focused
Ender's Game,Chapter 14 - ENDER'S TEACHER,11,Like the ocean / naval,Like the ocean / naval
Ender's Game,Chapter 14 - ENDER'S TEACHER,12,Moderately different (regular adaptation needed),Somewhat different (manageable environmental differences)
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,1,"Low contestation (minor competition, little open conflict)","Low contestation (minor competition, little open conflict)"
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,2,Habitable and governable (permanent settlements can hold territory),Habitable and governable (permanent settlements can hold territory)
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,3,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)","Long-distance journey (years, major separation from Earth)"
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,4,Mixed / hybrid culture,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,5,Same languages as Earth,"Mostly same, with dialect/slang differences"
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,6,Manageable but risky,Benign / easily survivable
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,7,Common (many people live/work there),Moderately common (noticeable settlements/populations)
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,8,Multiple distinct space polities,Earth nation-states extend into space
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,9,Drama,Adventure / exploration
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,10,Entirely civilian,Mixed civilian-military domain
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,11,Like the frontier / colonial expansion,Like the frontier / colonial expansion
Ender's Game,Chapter 15 - SPEAKER FOR THE DEAD,12,Somewhat different (manageable environmental differences),Almost Earth-like
Off on a Comet,Book 1 - Chapter 1,1,"Low contestation (minor competition, little open conflict)",Other / Unsure
Off on a Comet,Book 1 - Chapter 2,1,No contestation,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,1,No contestation,Other / Unsure
Off on a Comet,Book 1 - Chapter 4,1,No contestation,Moderate contestation (ongoing rivalry/disputes)
Off on a Comet,Book 1 - Chapter 5,1,No contestation,Other / Unsure
Off on a Comet,Book 1 - Chapter 6,1,No contestation,Other / Unsure
Off on a Comet,Book 1 - Chapter 7,1,No contestation,Other / Unsure
Off on a Comet,Book 1 - Chapter 8,1,No contestation,Other / Unsure
Off on a Comet,Book 1 - Chapter 9,1,No contestation,Other / Unsure
Off on a Comet,Book 1 - Chapter 10,1,No contestation,Other / Unsure
Off on a Comet,Book 1 - Chapter 1,2,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 2,2,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,2,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 4,2,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 5,2,Cannot inhabit or hold territory,Other / Unsure
Off on a Comet,Book 1 - Chapter 6,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Off on a Comet,Book 1 - Chapter 7,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Off on a Comet,Book 1 - Chapter 8,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Off on a Comet,Book 1 - Chapter 9,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Off on a Comet,Book 1 - Chapter 10,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Off on a Comet,Book 1 - Chapter 1,3,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 2,3,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,3,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 4,3,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 5,3,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 6,3,Other / Unsure,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)"
Off on a Comet,Book 1 - Chapter 7,3,Other / Unsure,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)"
Off on a Comet,Book 1 - Chapter 8,3,Moderate journey (months/meaningful separation),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)"
Off on a Comet,Book 1 - Chapter 9,3,Moderate journey (months/meaningful separation),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)"
Off on a Comet,Book 1 - Chapter 10,3,Moderate journey (months/meaningful separation),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)"
Off on a Comet,Book 1 - Chapter 1,12,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 2,12,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,12,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 4,12,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),Other / Unsure
Off on a Comet,Book 1 - Chapter 5,12,Very different (human bodies/technology constantly challenged),Moderately different (regular adaptation needed)
Off on a Comet,Book 1 - Chapter 6,12,Very different (human bodies/technology constantly challenged),Moderately different (regular adaptation needed)
Off on a Comet,Book 1 - Chapter 7,12,Very different (human bodies/technology constantly challenged),Moderately different (regular adaptation needed)
Off on a Comet,Book 1 - Chapter 8,12,Very different (human bodies/technology constantly challenged),Moderately different (regular adaptation needed)
Off on a Comet,Book 1 - Chapter 9,12,Very different (human bodies/technology constantly challenged),Moderately different (regular adaptation needed)
Off on a Comet,Book 1 - Chapter 10,12,Very different (human bodies/technology constantly challenged),Moderately different (regular adaptation needed)
Off on a Comet,Book 1 - Chapter 1,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 2,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 4,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 5,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 6,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 7,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 8,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 9,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 10,5,Same languages as Earth,Other / Unsure
Off on a Comet,Book 1 - Chapter 1,6,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 2,6,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,6,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 4,6,Extremely hostile (constant survival pressure),Other / Unsure
Off on a Comet,Book 1 - Chapter 5,6,Manageable but risky,Manageable but risky
Off on a Comet,Book 1 - Chapter 6,6,Manageable but risky,Benign / easily survivable
Off on a Comet,Book 1 - Chapter 7,6,Harsh and resource-intensive,Manageable but risky
Off on a Comet,Book 1 - Chapter 8,6,Harsh and resource-intensive,Manageable but risky
Off on a Comet,Book 1 - Chapter 9,6,Manageable but risky,Manageable but risky
Off on a Comet,Book 1 - Chapter 10,6,Harsh and resource-intensive,Other / Unsure
Off on a Comet,Book 1 - Chapter 1,7,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 2,7,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,7,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 4,7,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 5,7,Exceptionally rare (few astronauts/explorers),Uncommon (small specialist population)
Off on a Comet,Book 1 - Chapter 6,7,Exceptionally rare (few astronauts/explorers),Uncommon (small specialist population)
Off on a Comet,Book 1 - Chapter 7,7,Exceptionally rare (few astronauts/explorers),Uncommon (small specialist population)
Off on a Comet,Book 1 - Chapter 8,7,Exceptionally rare (few astronauts/explorers),Uncommon (small specialist population)
Off on a Comet,Book 1 - Chapter 9,7,Exceptionally rare (few astronauts/explorers),Uncommon (small specialist population)
Off on a Comet,Book 1 - Chapter 10,7,Exceptionally rare (few astronauts/explorers),Uncommon (small specialist population)
Off on a Comet,Book 1 - Chapter 1,8,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 2,8,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,8,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 4,8,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 5,8,No political order / ungoverned,Other / Unsure
Off on a Comet,Book 1 - Chapter 6,8,No political order / ungoverned,Other / Unsure
Off on a Comet,Book 1 - Chapter 7,8,No political order / ungoverned,Other / Unsure
Off on a Comet,Book 1 - Chapter 8,8,No political order / ungoverned,Other / Unsure
Off on a Comet,Book 1 - Chapter 9,8,No political order / ungoverned,Other / Unsure
Off on a Comet,Book 1 - Chapter 10,8,No political order / ungoverned,Other / Unsure
Off on a Comet,Book 1 - Chapter 1,9,Adventure / exploration,Other / Unsure
Off on a Comet,Book 1 - Chapter 2,9,Adventure / exploration,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,9,Adventure / exploration,Adventure / exploration
Off on a Comet,Book 1 - Chapter 4,9,Thriller / Horror / Survival,Adventure / exploration
Off on a Comet,Book 1 - Chapter 5,9,Adventure / exploration,Adventure / exploration
Off on a Comet,Book 1 - Chapter 6,9,Adventure / exploration,Adventure / exploration
Off on a Comet,Book 1 - Chapter 7,9,Adventure / exploration,Adventure / exploration
Off on a Comet,Book 1 - Chapter 8,9,Adventure / exploration,Adventure / exploration
Off on a Comet,Book 1 - Chapter 9,9,Adventure / exploration,Adventure / exploration
Off on a Comet,Book 1 - Chapter 10,9,Adventure / exploration,Adventure / exploration
Off on a Comet,Book 1 - Chapter 1,10,Mostly civilian with some military presence,Entirely civilian
Off on a Comet,Book 1 - Chapter 2,10,Mostly civilian with some military presence,Entirely civilian
Off on a Comet,Book 1 - Chapter 3,10,Mostly civilian with some military presence,Entirely civilian
Off on a Comet,Book 1 - Chapter 4,10,Entirely civilian,Other / Unsure
Off on a Comet,Book 1 - Chapter 5,10,Entirely civilian,Other / Unsure
Off on a Comet,Book 1 - Chapter 6,10,Entirely civilian,Other / Unsure
Off on a Comet,Book 1 - Chapter 7,10,Entirely civilian,Entirely civilian
Off on a Comet,Book 1 - Chapter 8,10,Entirely civilian,Entirely civilian
Off on a Comet,Book 1 - Chapter 9,10,Mostly civilian with some military presence,Entirely civilian
Off on a Comet,Book 1 - Chapter 10,10,Entirely civilian,Entirely civilian
Off on a Comet,Book 1 - Chapter 1,11,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 2,11,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 3,11,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 4,11,Other / Unsure,Other / Unsure
Off on a Comet,Book 1 - Chapter 5,11,Like the frontier / colonial expansion,Other / Unsure
Off on a Comet,Book 1 - Chapter 6,11,Like the frontier / colonial expansion,Other / Unsure
Off on a Comet,Book 1 - Chapter 7,11,Like the frontier / colonial expansion,Other / Unsure
Off on a Comet,Book 1 - Chapter 8,11,Like the frontier / colonial expansion,Other / Unsure
Off on a Comet,Book 1 - Chapter 9,11,Like the ocean / naval,Other / Unsure
Off on a Comet,Book 1 - Chapter 10,11,Like the ocean / naval,Other / Unsure
Planet of the Apes,Chapter 1,1,No contestation,Other / Unsure
Planet of the Apes,Chapter 1,2,"Visiting / Temporary presence only (stations, missions, outposts)",Habitable and governable (permanent settlements can hold territory)
