chapter,question,answer,explanation,,Question,Options,,,,,,
3,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
3,10,Entirely military / war-focused,implications at the moment is that space is a military domain predominantly,,,,,,,,,
3,11,Like the ocean / naval,"fleets, ships, etc",,,,,,,,,
3,12,Other / Unsure,not discussed,,,,,,,,,
4,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
4,2,Other / Unsure,not discussed,,,,,,,,,
4,3,Near-Earth / very short journey,a brief flight to space,,,,,,,,,
4,4,Mostly Earth-like with minor adaptations,"children going to train as soldiers, but Other / Unsurewise normal",,,,,,,,,
4,5,"Mostly same, with dialect/slang differences","slang/language ""monitor"", ""third"" used in different context",,,,,,,,,
4,6,Other / Unsure,not discussed,,,,,,,,,
4,7,Uncommon (small specialist population),most people aren't exposed to space,,,,,,,,,
4,8,Single unified authority,there's a government that seems to be unified,,,,,,,,,
4,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
4,10,Entirely military / war-focused,implications at the moment is that space is a military domain predominantly,,,,,,,,,
4,11,Totally unique domain,emphasis on zero-gravity nature of space,,,,,,,,,
4,12,Very different (human bodies/technology constantly challenged),emphasis on zero-gravity nature of space,,,,,,,,,
5,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
5,2,Other / Unsure,not discussed,,,,,,,,,
5,3,Other / Unsure,not discussed,,,,,,,,,
5,4,Mostly Earth-like with minor adaptations,"children going to train as soldiers, but Other / Unsurewise normal",,,,,,,,,
5,5," Mostly same, with dialect/slang differences","slang/language ""wireball""",,,,,,,,,
5,6,Other / Unsure,not discussed,,,,,,,,,
5,7,Other / Unsure,not discussed,,,,,,,,,
5,8,Other / Unsure,not discussed,,,,,,,,,
5,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
5,10,Entirely military / war-focused,they're at a school training to be soldiers,,,,,,,,,
5,11,Other / Unsure,not discussed,,,,,,,,,
5,12,Somewhat different (manageable environmental differences),"they're at a space station, some mention of gravity differences, but mostly same",,,,,,,,,
6,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
6,2,Other / Unsure,not discussed,,,,,,,,,
6,3,Other / Unsure,not discussed,,,,,,,,,
6,4,Mostly Earth-like with minor adaptations,"children going to train as soldiers, but Other / Unsurewise normal",,,,,,,,,
6,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
6,6,Other / Unsure,not discussed,,,,,,,,,
6,7,Other / Unsure,not discussed,,,,,,,,,
6,8,Other / Unsure,not discussed,,,,,,,,,
6,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
6,10,Entirely military / war-focused,they're at a school training to be soldiers,,,,,,,,,
6,11,Totally unique domain,focus on zero-gravity aspect of combat in space,,,,,,,,,
6,12,Somewhat different (manageable environmental differences),"they're at a space station, some mention of gravity differences, but mostly same",,,,,,,,,
7,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
7,2,Other / Unsure,not discussed,,,,,,,,,
7,3,Other / Unsure,not discussed,,,,,,,,,
7,4,Mostly Earth-like with minor adaptations,"children going to train as soldiers, but Other / Unsurewise normal",,,,,,,,,
7,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
7,6,Other / Unsure,not discussed,,,,,,,,,
7,7,Other / Unsure,not discussed,,,,,,,,,
7,8,Other / Unsure,not discussed,,,,,,,,,
7,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
7,10,Entirely military / war-focused,they're at a school training to be soldiers,,,,,,,,,
7,11,Totally unique domain,focus on zero-gravity aspect of combat in space,,,,,,,,,
7,12,Somewhat different (manageable environmental differences),"they're at a space station, some mention of gravity differences, but mostly same",,,,,,,,,
8,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
8,2,Other / Unsure,not discussed,,,,,,,,,
8,3,Other / Unsure,not discussed,,,,,,,,,
8,4,Mostly Earth-like with minor adaptations,"children going to train as soldiers, but Other / Unsurewise normal",,,,,,,,,
8,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
8,6,Other / Unsure,not discussed,,,,,,,,,
8,7,Other / Unsure,not discussed,,,,,,,,,
8,8,Single unified authority,"discussion of hegemony and strategos as separate entities, explicit discussion of separate countries, but still seems to imply one overarching authority",,,,,,,,,
8,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
8,10,Entirely military / war-focused,they're at a school training to be soldiers,,,,,,,,,
8,11,Totally unique domain,focus on zero-gravity aspect of combat in space,,,,,,,,,
8,12,Somewhat different (manageable environmental differences),"they're at a space station, some mention of gravity differences, but mostly same",,,,,,,,,
9,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
9,2,Habitable and governable (permanent settlements can hold territory),Demosthenes discusses colonizing Other / Unsure worlds,,,,,,,,,
9,3,Other / Unsure,not discussed,,,,,,,,,
9,4,Mostly Earth-like with minor adaptations,"children going to train as soldiers, but Other / Unsurewise normal",,,,,,,,,
9,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
9,6,Benign / easily survivable,implied by discussion of colonization,,,,,,,,,
9,7,Uncommon (small specialist population),"a thing that happens, but ender is rare to have gone",,,,,,,,,
9,8,Earth nation-states extend into space,"explicit discussion of potential war between countries on earth, discussion of Warsaw Pact",,,,,,,,,
9,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
9,10,Entirely military / war-focused,they're at a school training to be soldiers,,,,,,,,,
9,11,Totally unique domain,focus on zero-gravity aspect of combat in space,,,,,,,,,
9,12,Somewhat different (manageable environmental differences),"they're at a space station, some mention of gravity differences, but mostly same",,,,,,,,,
10,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
10,2,Other / Unsure,not discussed,,,,,,,,,
10,3,Other / Unsure,not discussed,,,,,,,,,
10,4,Mostly Earth-like with minor adaptations,"children going to train as soldiers, but Other / Unsurewise normal",,,,,,,,,
10,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
10,6,Other / Unsure,not discussed,,,,,,,,,
10,7,Other / Unsure,not discussed,,,,,,,,,
10,8,Other / Unsure,not discussed,,,,,,,,,
10,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
10,10,Entirely military / war-focused,they're at a school training to be soldiers,,,,,,,,,
10,11,Totally unique domain,focus on zero-gravity aspect of combat in space,,,,,,,,,
10,12,Somewhat different (manageable environmental differences),"they're at a space station, some mention of gravity differences, but mostly same",,,,,,,,,
11,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
11,2,Other / Unsure,not discussed,,,,,,,,,
11,3,Other / Unsure,not discussed,,,,,,,,,
11,4,Mostly Earth-like with minor adaptations,"children going to train as soldiers, but Other / Unsurewise normal",,,,,,,,,
11,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
11,6,Other / Unsure,not discussed,,,,,,,,,
11,7,Other / Unsure,not discussed,,,,,,,,,
11,8,Earth nation-states extend into space,"nation states, but under a single authority at the moment",,,,,,,,,
11,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
11,10,Entirely military / war-focused,they're at a school training to be soldiers,,,,,,,,,
11,11,Totally unique domain,focus on zero-gravity aspect of combat in space,,,,,,,,,
11,12,Somewhat different (manageable environmental differences),"they're at a space station, some mention of gravity differences, but mostly same",,,,,,,,,
12,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
12,2,Other / Unsure,not discussed,,,,,,,,,
12,3,Near-Earth / very short journey,quick flight to florida,,,,,,,,,
12,4,Mostly Earth-like with minor adaptations,"children going to train as soldiers, but Other / Unsurewise normal",,,,,,,,,
12,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
12,6,Other / Unsure,not discussed,,,,,,,,,
12,7,Other / Unsure,not discussed,,,,,,,,,
12,8,Earth nation-states extend into space,"nation states, but under a single authority at the moment",,,,,,,,,
12,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
12,10,Entirely military / war-focused,they're at a school training to be soldiers,,,,,,,,,
12,11,Totally unique domain,focus on zero-gravity aspect of combat in space,,,,,,,,,
12,12,Somewhat different (manageable environmental differences),"they're at a space station, some mention of gravity differences, but mostly same",,,,,,,,,
13,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
13,2,Habitable and governable (permanent settlements can hold territory),interplanetary launch city,,,,,,,,,
13,3,long-distance journey,"a three month journey to the edge of the solar system, but more importantly, sending ships across the galaxy takes years",,,,,,,,,
13,4,Mostly Earth-like with minor adaptations,"still Mostly Earth-like with minor adaptations, minor differences but overall human culture",,,,,,,,,
13,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
13,6,Other / Unsure,not discussed,,,,,,,,,
13,7,Uncommon (small specialist population),"multiple people in space, but still not common",,,,,,,,,
13,8,Earth nation-states extend into space,"nation states, but under a single authority at the moment",,,,,,,,,
13,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
13,10,Entirely military / war-focused,everything in space seems to be run by the military,,,,,,,,,
13,11,Totally unique domain,focus on zero-gravity aspect of combat in space,,,,,,,,,
13,12,Somewhat different (manageable environmental differences),"left the space-station, but no discussion of adaptations and stuff",,,,,,,,,
14,1,High contestation (frequent conflict or strategic struggle),going to prepare to fight a war,,,,,,,,,
14,2,Habitable and governable (permanent settlements can hold territory),living on a base in space,,,,,,,,,
14,3,long-distance journey,sending ships across the galaxy takes years,,,,,,,,,
14,4,Mostly Earth-like with minor adaptations,"still Mostly Earth-like with minor adaptations, minor differences but overall human culture",,,,,,,,,
14,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
14,6,Other / Unsure,not discussed,,,,,,,,,
14,7,Uncommon (small specialist population),"multiple people in space, but still not common",,,,,,,,,
14,8,Earth nation-states extend into space,"everything in space seems to be under one authority, but it all breaks down and there's war between the Warsaw Pact and the US",,,,,,,,,
14,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
14,10,Entirely military / war-focused,they're at a school training to be soldiers,,,,,,,,,
14,11,Like the ocean / naval,"still discussion of zero-gravity, but now ships, fleets, pilots etc",,,,,,,,,
14,12,Somewhat different (manageable environmental differences),"left the space-station, but no discussion of adaptations and stuff",,,,,,,,,
15,1,"Low contestation (minor competition, little open conflict)","discussion of potential for war, but now a time of peace",,,,,,,,,
15,2,Habitable and governable (permanent settlements can hold territory),"discussions of colonization projects, execution of colonization",,,,,,,,,
15,3,long-distance journey,sending ships across the galaxy takes years,,,,,,,,,
15,4,Mostly Earth-like with minor adaptations,"still Mostly Earth-like with minor adaptations, minor differences but overall human culture",,,,,,,,,
15,5,"Mostly same, with dialect/slang differences","slang/language ""bugger-lover""",,,,,,,,,
15,6,Benign / easily survivable,colonization is readily achieved,,,,,,,,,
15,7,Moderately common (noticeable settlements/populations),"colonization is becoming more common, civilians entering space regularly",,,,,,,,,
15,8,Earth nation-states extend into space,"breakdown of single authority and preservation of nation-states early on, all states on earth seem to be subsumed, but colonization essentially creates separate entities",,,,,,,,,
15,9,Adventure / exploration,young boy being taken to a special school to train to be a soldier,,,,,,,,,
15,10,Mixed civilian-military domain,"still military vestiges, but as the chapter proceeds, increasingly civilian",,,,,,,,,
15,11,Like the frontier / colonial expansion,"embracing colonization, distance from home, etc",,,,,,,,,
15,12,Mostly Earth-like with minor adaptations,world they colonize is essentially exactly Mostly Earth-like with minor adaptations,,,,,,,,,
